NAMA,SUAMI,ISTRI,JENIS USAHA/PEKERJAAN,KEPEMILIKAN ASET,LUAS TEMPAT TINGGAL,JENIS DINDING,JENIS LANTAI,PENDIDIKAN,JUMLAH TANGGUNGAN,NO KARTU KELUARGA,RIWAYAT,KELAS TARGET
Fahri Rahim 036,900000,0,IRT,Tidak ada,Kecil,Bambu/Kayu,Semen,Tamat SD,6,7505754532922336,1,LAYAK
Zulkifli Dau 122,2000000,2500000,Berdagang,Ada,Besar,Tembok,Keramik,Diploma IV/Strata I,2,7505499247794422,1,TIDAK LAYAK
Ilham Jalil 132,2500000,2000000,Bekerja,Ada,Sedang,Tembok/Beton,Keramik,Pelajar/Mahasiswa,2,7505294667313132,1,TIDAK LAYAK
Dewi Daud 149,3000000,1000000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Semen,Pelajar/Mahasiswa,1,7505771513669249,0,TIDAK LAYAK
Yuliana Dau 145,4000000,1000000,Transportasi,Ada,Sedang,Semi,Semen,SLTA/Sederajat,1,7505926649192845,0,TIDAK LAYAK
Fauzan Botutihe 114,3000000,2500000,Wiraswasta,Ada,Besar,Tembok/Beton,Semen,Diploma I,2,7505762576958114,1,TIDAK LAYAK
Rina Daud 069,1000000,200000,Lain-lain,Tidak ada,Kecil,Semi,Semen,SLTP/Sederajat,7,7505892477729769,2,LAYAK
Fahri Akib 010,300000,350000,IRT,Tidak ada,Sedang,Tembok,Semen,SLTA/Sederajat,3,7505172473678810,0,LAYAK
Ismail Lihawa 118,2800000,500000,Pegawai Negeri Sipil,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,1,7505204548982918,0,TIDAK LAYAK
Murni Yusuf 087,3000000,1000000,Bekerja,Ada,Kecil,Tembok,Semen,Pelajar/Mahasiswa,3,7505831068376587,0,TIDAK LAYAK
Rahman Tahir 126,2500000,500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,3,7505972763136426,0,TIDAK LAYAK
Fahri Badu 088,2500000,1500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,3,7505588616817688,0,TIDAK LAYAK
Ilham Yusuf 034,1500000,0,IRT,Ada,Kecil,Tembok,Tanah,SLTP/Sederajat,4,7505477622748534,2,LAYAK
Sulastri Saman 013,900000,300000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,SLTA/Sederajat,7,7505833779581813,2,LAYAK
Fatmawati Baya 003,750000,250000,Lain-lain,Tidak ada,Kecil,Bilik Bambu/Kayu,Keramik,Belum Tamat SD,4,7505535932254903,0,LAYAK
Hajira Mokodongan 017,750000,0,Tukang Kayu,Tidak ada,Kecil,Semi,Semen,Tamat SD,6,7505222444518717,2,LAYAK
Arman Yusuf 076,3500000,750000,Berdagang,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,3,7505804751323076,1,TIDAK LAYAK
Wati Baya 103,2200000,500000,Wiraswasta,Ada,Sedang,Tembok,Keramik,SLTA/Sederajat,1,7505663541668703,2,TIDAK LAYAK
Rahman Saman 058,750000,250000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,Belum Tamat SD,6,7505138330346058,3,LAYAK
Zulkifli Monoarfa 048,900000,500000,IRT,Tidak ada,Sangat kecil,Semi,Semen,Belum Tamat SD,3,7505313347106248,0,LAYAK
Deni Lamusu 100,3000000,1500000,Berdagang,Ada,Sedang,Tembok/Beton,Semen,Diploma I,1,7505223427556000,0,TIDAK LAYAK
Beni Lamusu 056,750000,0,Petani,Tidak ada,Sedang,Semi,Semen,Belum Tamat SD,3,7505245755812456,0,LAYAK
Wati Monoarfa 031,0,0,Lain-lain,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,Belum Tamat SD,5,7505197486424331,1,LAYAK
Rudi Lihawa 090,3000000,2000000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,1,7505935375282190,0,TIDAK LAYAK
Asni Rahim 077,2500000,1000000,Berdagang,Ada,Besar,Tembok,Keramik,Diploma IV/Strata I,2,7505877828496477,0,TIDAK LAYAK
Fahri Kasim 016,900000,500000,Lain-lain,Tidak ada,Kecil,Semi,Semen,Tamat SD,3,7505538659138516,1,LAYAK
Deni Lamusu 080,3500000,2500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,2,7505253289452380,1,TIDAK LAYAK
Wati Tuliabu 129,4000000,750000,Bekerja,Ada,Kecil,Tembok,Semen,Pelajar/Mahasiswa,1,7505632167990629,0,TIDAK LAYAK
Fauzan Botutihe 004,1200000,350000,Lain-lain,Tidak ada,Sedang,Tembok,Semen,SLTP/Sederajat,6,7505303723808204,0,LAYAK
Yusuf Yusuf 124,3500000,1500000,Berdagang,Ada,Besar,Tembok/Beton,Keramik,Diploma I,2,7505118265822324,0,TIDAK LAYAK
Fatmawati Saman 059,900000,350000,Transportasi,Tidak ada,Sedang,Semi,Semen,Belum Tamat SD,6,7505784063147259,0,LAYAK
Sukmawati Jalil 055,1500000,0,Petani,Tidak ada,Sedang,Tembok,Semen,Tamat SD,7,7505607951949355,0,LAYAK
Fitri Saman 035,750000,750000,Tukang Kayu,Ada,Kecil,Tembok,Tanah,SLTP/Sederajat,4,7505631418525535,1,LAYAK
Hendra Yusuf 014,750000,500000,Tukang Kayu,Tidak ada,Sedang,Semi,Semen,Tamat SD,4,7505513523919614,1,LAYAK
Ridwan Tuliabu 104,2000000,2000000,Berdagang,Ada,Sedang,Tembok,Keramik,SLTA/Sederajat,3,7505708275872204,0,TIDAK LAYAK
Asni Husain 025,1200000,0,Berdagang,Tidak ada,Kecil,Tembok,Keramik,SLTA/Sederajat,7,7505822488218725,3,LAYAK
Deni Daud 150,4000000,500000,Pegawai Negeri Sipil,Ada,Sedang,Tembok/Beton,Keramik,Diploma I,1,7505547051919750,0,TIDAK LAYAK
Asni Dau 061,300000,500000,Nelayan,Tidak ada,Sedang,Bilik Bambu/Kayu,Semen,Tamat SD,3,7505905422366861,0,LAYAK
Asni Gobel 133,2500000,2500000,Wiraswasta,Ada,Besar,Tembok/Beton,Semen,SLTA/Sederajat,3,7505371761972233,1,TIDAK LAYAK
Hajira Jalil 009,1000000,750000,Petani,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,SLTP/Sederajat,6,7505938657345609,1,LAYAK
Rahman Rahim 128,5000000,500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,1,7505218724816228,1,TIDAK LAYAK
Nurmi Pateda 125,3000000,2500000,Transportasi,Ada,Besar,Tembok,Keramik,SLTA/Sederajat,2,7505748947813525,1,TIDAK LAYAK
Melati Dau 047,500000,350000,Transportasi,Tidak ada,Kecil,Tembok,Semen,Tamat SD,7,7505192434283247,1,LAYAK
Jamal Tuliabu 082,5000000,1500000,Berdagang,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,0,7505558746385182,0,TIDAK LAYAK
Khadijah Akib 033,0,350000,Tukang Kayu,Tidak ada,Sedang,Semi,Semen,SLTP/Sederajat,7,7505378927957133,0,LAYAK
Fatmawati Lihawa 005,900000,500000,Tukang Kayu,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,Belum Tamat SD,4,7505766437243005,1,LAYAK
Jamal Lihawa 086,2000000,500000,Wiraswasta,Ada,Sedang,Tembok/Beton,Semen,Diploma I,0,7505852894777286,0,TIDAK LAYAK
Marlina Jalil 097,2200000,750000,Karyawan Swasta,Ada,Besar,Tembok,Semen,SLTA/Sederajat,0,7505277074248997,0,TIDAK LAYAK
Sukmawati Yusuf 001,500000,300000,Petani,Tidak ada,Sedang,Bilik Bambu/Kayu,Semen,Belum Tamat SD,3,7505414486396601,0,LAYAK
Rahman Botutihe 038,1200000,0,IRT,Tidak ada,Sedang,Semi,Keramik,SLTP/Sederajat,7,7505937944122738,1,LAYAK
Mansur Tahir 116,3500000,1500000,Karyawan Swasta,Ada,Kecil,Tembok,Semen,Diploma I,1,7505695090840516,0,TIDAK LAYAK
Dewi Djafar 083,3000000,1500000,Karyawan Swasta,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,1,7505388596745783,0,TIDAK LAYAK
Hendra Lihawa 042,500000,350000,Lain-lain,Tidak ada,Kecil,Semi,Tanah,SLTP/Sederajat,4,7505831355175842,0,LAYAK
Rudi Monoarfa 138,3000000,2500000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,0,7505214384642238,0,TIDAK LAYAK
Deni Pateda 074,900000,0,Transportasi,Tidak ada,Sangat kecil,Bambu/Kayu,Semen,Tamat SD,6,7505584139115174,1,LAYAK
Jamal Dau 052,750000,250000,Berdagang,Tidak ada,Sedang,Bilik Bambu/Kayu,Semen,SLTP/Sederajat,6,7505555242130352,1,LAYAK
Ilham Tahir 068,1200000,0,Bekerja,Tidak ada,Sedang,Tembok,Semen,SLTA/Sederajat,5,7505422735868968,0,LAYAK
Irfan Badu 108,5000000,750000,Bekerja,Ada,Sedang,Tembok,Keramik,SLTA/Sederajat,1,7505804688421208,0,TIDAK LAYAK
Hasan Jalil 110,3500000,1500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,1,7505795853890710,1,TIDAK LAYAK
Nurlaila Pateda 071,1500000,500000,Transportasi,Ada,Kecil,Semi,Semen,SLTP/Sederajat,4,7505524792318071,2,LAYAK
Fauzan Akib 078,4000000,2500000,Transportasi,Ada,Sedang,Tembok,Keramik,Diploma I,1,7505136528316578,1,TIDAK LAYAK
Zulkifli Tahir 032,1200000,750000,Petani,Tidak ada,Sedang,Bilik Bambu/Kayu,Keramik,SLTA/Sederajat,5,7505157896835032,3,LAYAK
Wati Botutihe 127,2800000,1000000,Wiraswasta,Ada,Besar,Tembok/Beton,Keramik,Diploma I,1,7505599999362127,0,TIDAK LAYAK
Syarif Saman 018,750000,0,Berdagang,Tidak ada,Sangat kecil,Semi,Tanah,SLTP/Sederajat,7,7505856878535018,1,LAYAK
Indah Saman 085,5000000,1500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,Diploma I,2,7505779311723385,0,TIDAK LAYAK
Siti Lamusu 073,500000,0,Lain-lain,Tidak ada,Sangat kecil,Tembok,Semen,SLTA/Sederajat,4,7505605175389273,0,LAYAK
Sukmawati Tahir 093,2500000,500000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Semen,Diploma I,1,7505893042361293,1,TIDAK LAYAK
Aminah Jalil 049,750000,300000,IRT,Tidak ada,Kecil,Semi,Semen,SLTA/Sederajat,7,7505402741386449,3,LAYAK
Murni Daud 023,0,350000,Berdagang,Tidak ada,Sangat kecil,Bilik Bambu/Kayu,Semen,SLTP/Sederajat,6,7505214528451323,2,LAYAK
Khadijah Mokodongan 007,750000,0,Nelayan,Tidak ada,Kecil,Semi,Tanah,Belum Tamat SD,4,7505551851110307,2,LAYAK
Aisyah Kadir 147,3500000,1500000,Karyawan Swasta,Ada,Sedang,Tembok/Beton,Semen,Diploma IV/Strata I,1,7505671988205347,1,TIDAK LAYAK
Rizal Daud 070,750000,0,Transportasi,Ada,Sedang,Tembok,Semen,SLTP/Sederajat,4,7505712736409270,2,LAYAK
Marlina Lamusu 123,3000000,1500000,Berdagang,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,0,7505454018495023,0,TIDAK LAYAK
Nurhayati Mokodongan 079,2000000,2500000,Transportasi,Ada,Besar,Tembok,Semen,SLTA/Sederajat,3,7505537059244879,0,TIDAK LAYAK
Khadijah Mokodongan 011,600000,350000,IRT,Tidak ada,Kecil,Bambu/Kayu,Tanah,Tamat SD,6,7505101413893511,0,LAYAK
Andi Mohamad 102,3500000,750000,Karyawan Swasta,Ada,Kecil,Semi,Semen,Diploma I,2,7505913871530402,0,TIDAK LAYAK
Sukmawati Saman 015,750000,500000,Berdagang,Tidak ada,Sedang,Bilik Bambu/Kayu,Semen,SLTA/Sederajat,6,7505939921839015,2,LAYAK
Beni Mokodongan 012,1200000,500000,IRT,Ada,Kecil,Tembok,Keramik,SLTA/Sederajat,7,7505763789297512,2,LAYAK
Rudi Djafar 096,3500000,2000000,Wiraswasta,Ada,Sedang,Tembok/Beton,Keramik,Diploma IV/Strata I,0,7505808999266496,0,TIDAK LAYAK
Deni Jalil 062,500000,300000,Transportasi,Tidak ada,Kecil,Tembok,Semen,SLTA/Sederajat,7,7505191844296462,0,LAYAK
Marlina Monoarfa 089,5000000,2500000,Berdagang,Ada,Besar,Tembok,Keramik,Diploma IV/Strata I,3,7505137684733389,1,TIDAK LAYAK
Khadijah Yusuf 045,0,500000,IRT,Tidak ada,Sedang,Semi,Semen,SLTP/Sederajat,7,7505435490571445,2,LAYAK
Murni Saman 115,3500000,1000000,Transportasi,Ada,Sedang,Tembok,Semen,Diploma IV/Strata I,2,7505875668668815,0,TIDAK LAYAK
Murni Lamusu 021,1200000,350000,Transportasi,Tidak ada,Sedang,Tembok,Semen,SLTP/Sederajat,7,7505464875108021,0,LAYAK
Fahri Pateda 026,1200000,350000,Lain-lain,Tidak ada,Kecil,Tembok,Tanah,SLTP/Sederajat,5,7505202715964626,1,LAYAK
Rizky Datau 060,0,350000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Tanah,SLTA/Sederajat,6,7505372764521660,2,LAYAK
Rahman Gobel 148,3500000,2500000,Transportasi,Ada,Besar,Tembok,Semen,Diploma I,0,7505431239677348,0,TIDAK LAYAK
Hasan Yusuf 024,1000000,200000,Bekerja,Tidak ada,Kecil,Tembok/Beton,Semen,Belum Tamat SD,7,7505651927144824,1,LAYAK
Deni Baya 046,600000,0,Bekerja,Tidak ada,Kecil,Tembok,Semen,SLTA/Sederajat,7,7505555262354846,1,LAYAK
Rina Husain 041,1200000,350000,IRT,Tidak ada,Kecil,Tembok,Tanah,Belum Tamat SD,5,7505603233525641,2,LAYAK
Yusuf Yusuf 066,0,300000,Tukang Kayu,Tidak ada,Sangat kecil,Bilik Bambu/Kayu,Tanah,SLTP/Sederajat,4,7505819326433566,2,LAYAK
Deni Mohamad 136,3500000,2000000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Keramik,Diploma I,0,7505672751248036,1,TIDAK LAYAK
Syarif Mokodongan 092,3000000,750000,Karyawan Swasta,Ada,Sedang,Tembok,Semen,Diploma I,3,7505203988671092,0,TIDAK LAYAK
Nurlaila Tuliabu 099,5000000,500000,Bekerja,Ada,Besar,Tembok/Beton,Keramik,Diploma I,2,7505335331157099,0,TIDAK LAYAK
Hajira Gobel 141,3500000,2500000,Berdagang,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,1,7505434937830141,0,TIDAK LAYAK
Nurmi Kasim 067,750000,500000,IRT,Tidak ada,Kecil,Tembok,Semen,SLTA/Sederajat,3,7505401631181467,0,LAYAK
Nurlaila Akib 037,1500000,250000,IRT,Ada,Kecil,Semi,Semen,SLTP/Sederajat,6,7505557521664737,0,LAYAK
Ridwan Dau 130,4000000,750000,Pegawai Negeri Sipil,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,2,7505942547948130,1,TIDAK LAYAK
Dewi Jalil 137,3500000,750000,Pegawai Negeri Sipil,Ada,Kecil,Tembok,Semen,SLTA/Sederajat,1,7505793585395837,0,TIDAK LAYAK
Zulkifli Badu 054,300000,350000,Petani,Tidak ada,Kecil,Semi,Tanah,Belum Tamat SD,5,7505911972309054,2,LAYAK
Dewi Gobel 029,1000000,0,Berdagang,Tidak ada,Sedang,Tembok/Beton,Keramik,Tamat SD,7,7505426149804329,3,LAYAK
Yani Kasim 027,1200000,500000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,Tamat SD,7,7505496339137127,0,LAYAK
Aisyah Akib 119,2200000,1000000,Pegawai Negeri Sipil,Ada,Sedang,Tembok,Keramik,Diploma IV/Strata I,2,7505725469935819,1,TIDAK LAYAK
Fitri Yusuf 065,750000,250000,Berdagang,Tidak ada,Sedang,Semi,Keramik,Tamat SD,4,7505956336166565,1,LAYAK
Rudi Husain 144,4000000,750000,Karyawan Swasta,Ada,Kecil,Semi,Semen,Pelajar/Mahasiswa,1,7505468767641644,0,TIDAK LAYAK
Andi Husain 120,2000000,750000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,3,7505885116165320,0,TIDAK LAYAK
Hasan Rahim 064,500000,500000,Petani,Tidak ada,Kecil,Semi,Semen,Belum Tamat SD,5,7505706218404764,3,LAYAK
Indah Rahim 095,2000000,1000000,Wiraswasta,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,1,7505355475529395,0,TIDAK LAYAK
Marlina Kadir 111,4000000,1000000,Berdagang,Ada,Kecil,Tembok,Semen,Pelajar/Mahasiswa,1,7505184275113711,0,TIDAK LAYAK
Rizky Djafar 002,1500000,350000,Nelayan,Tidak ada,Sedang,Bilik Bambu/Kayu,Keramik,Tamat SD,7,7505143663174202,0,LAYAK
Khadijah Mokodongan 113,4000000,750000,Berdagang,Ada,Sedang,Tembok/Beton,Keramik,Pelajar/Mahasiswa,2,7505159240339213,1,TIDAK LAYAK
Mansur Gobel 006,500000,0,Tukang Kayu,Tidak ada,Sedang,Tembok/Beton,Keramik,Tamat SD,7,7505612859735506,1,LAYAK
Ismail Datau 072,500000,750000,Berdagang,Tidak ada,Sedang,Semi,Semen,SLTP/Sederajat,7,7505756684371272,2,LAYAK
