NAMA,SUAMI,ISTRI,JENIS USAHA/PEKERJAAN,KEPEMILIKAN ASET,LUAS TEMPAT TINGGAL,JENIS DINDING,JENIS LANTAI,PENDIDIKAN,JUMLAH TANGGUNGAN,NO KARTU KELUARGA
Hajira Mokodongan 017,750000,0,Tukang Kayu,Tidak ada,Kecil,Semi,Semen,Tamat SD,6,7505222444518717
Arman Yusuf 076,3500000,750000,Berdagang,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,3,7505804751323076
Wati Baya 103,2200000,500000,Wiraswasta,Ada,Sedang,Tembok,Keramik,SLTA/Sederajat,1,7505663541668703
Rahman Saman 058,750000,250000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,Belum Tamat SD,6,7505138330346058
Zulkifli Monoarfa 048,900000,500000,IRT,Tidak ada,Sangat kecil,Semi,Semen,Belum Tamat SD,3,7505313347106248
Deni Lamusu 100,3000000,1500000,Berdagang,Ada,Sedang,Tembok/Beton,Semen,Diploma I,1,7505223427556000
Beni Lamusu 056,750000,0,Petani,Tidak ada,Sedang,Semi,Semen,Belum Tamat SD,3,7505245755812456
Wati Monoarfa 031,0,0,Lain-lain,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,Belum Tamat SD,5,7505197486424331
Rudi Lihawa 090,3000000,2000000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,1,7505935375282190
Asni Rahim 077,2500000,1000000,Berdagang,Ada,Besar,Tembok,Keramik,Diploma IV/Strata I,2,7505877828496477
Fahri Kasim 016,900000,500000,Lain-lain,Tidak ada,Kecil,Semi,Semen,Tamat SD,3,7505538659138516
Deni Lamusu 080,3500000,2500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,2,7505253289452380
Wati Tuliabu 129,4000000,750000,Bekerja,Ada,Kecil,Tembok,Semen,Pelajar/Mahasiswa,1,7505632167990629
Fauzan Botutihe 004,1200000,350000,Lain-lain,Tidak ada,Sedang,Tembok,Semen,SLTP/Sederajat,6,7505303723808204
Yusuf Yusuf 124,3500000,1500000,Berdagang,Ada,Besar,Tembok/Beton,Keramik,Diploma I,2,7505118265822324
Fatmawati Saman 059,900000,350000,Transportasi,Tidak ada,Sedang,Semi,Semen,Belum Tamat SD,6,7505784063147259
Sukmawati Jalil 055,1500000,0,Petani,Tidak ada,Sedang,Tembok,Semen,Tamat SD,7,7505607951949355
Fitri Saman 035,750000,750000,Tukang Kayu,Ada,Kecil,Tembok,Tanah,SLTP/Sederajat,4,7505631418525535
Hendra Yusuf 014,750000,500000,Tukang Kayu,Tidak ada,Sedang,Semi,Semen,Tamat SD,4,7505513523919614
Ridwan Tuliabu 104,2000000,2000000,Berdagang,Ada,Sedang,Tembok,Keramik,SLTA/Sederajat,3,7505708275872204
Asni Husain 025,1200000,0,Berdagang,Tidak ada,Kecil,Tembok,Keramik,SLTA/Sederajat,7,7505822488218725
Deni Daud 150,4000000,500000,Pegawai Negeri Sipil,Ada,Sedang,Tembok/Beton,Keramik,Diploma I,1,7505547051919750
Asni Dau 061,300000,500000,Nelayan,Tidak ada,Sedang,Bilik Bambu/Kayu,Semen,Tamat SD,3,7505905422366861
Asni Gobel 133,2500000,2500000,Wiraswasta,Ada,Besar,Tembok/Beton,Semen,SLTA/Sederajat,3,7505371761972233
Hajira Jalil 009,1000000,750000,Petani,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,SLTP/Sederajat,6,7505938657345609
Rahman Rahim 128,5000000,500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,SLTA/Sederajat,1,7505218724816228
Nurmi Pateda 125,3000000,2500000,Transportasi,Ada,Besar,Tembok,Keramik,SLTA/Sederajat,2,7505748947813525
Melati Dau 047,500000,350000,Transportasi,Tidak ada,Kecil,Tembok,Semen,Tamat SD,7,7505192434283247
Jamal Tuliabu 082,5000000,1500000,Berdagang,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,0,7505558746385182
Khadijah Akib 033,0,350000,Tukang Kayu,Tidak ada,Sedang,Semi,Semen,SLTP/Sederajat,7,7505378927957133
Fatmawati Lihawa 005,900000,500000,Tukang Kayu,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,Belum Tamat SD,4,7505766437243005
Jamal Lihawa 086,2000000,500000,Wiraswasta,Ada,Sedang,Tembok/Beton,Semen,Diploma I,0,7505852894777286
Marlina Jalil 097,2200000,750000,Karyawan Swasta,Ada,Besar,Tembok,Semen,SLTA/Sederajat,0,7505277074248997
Sukmawati Yusuf 001,500000,300000,Petani,Tidak ada,Sedang,Bilik Bambu/Kayu,Semen,Belum Tamat SD,3,7505414486396601
Rahman Botutihe 038,1200000,0,IRT,Tidak ada,Sedang,Semi,Keramik,SLTP/Sederajat,7,7505937944122738
Mansur Tahir 116,3500000,1500000,Karyawan Swasta,Ada,Kecil,Tembok,Semen,Diploma I,1,7505695090840516
Dewi Djafar 083,3000000,1500000,Karyawan Swasta,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,1,7505388596745783
Hendra Lihawa 042,500000,350000,Lain-lain,Tidak ada,Kecil,Semi,Tanah,SLTP/Sederajat,4,7505831355175842
Rudi Monoarfa 138,3000000,2500000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,0,7505214384642238
Deni Pateda 074,900000,0,Transportasi,Tidak ada,Sangat kecil,Bambu/Kayu,Semen,Tamat SD,6,7505584139115174
Jamal Dau 052,750000,250000,Berdagang,Tidak ada,Sedang,Bilik Bambu/Kayu,Semen,SLTP/Sederajat,6,7505555242130352
Ilham Tahir 068,1200000,0,Bekerja,Tidak ada,Sedang,Tembok,Semen,SLTA/Sederajat,5,7505422735868968
Irfan Badu 108,5000000,750000,Bekerja,Ada,Sedang,Tembok,Keramik,SLTA/Sederajat,1,7505804688421208
Hasan Jalil 110,3500000,1500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,1,7505795853890710
Nurlaila Pateda 071,1500000,500000,Transportasi,Ada,Kecil,Semi,Semen,SLTP/Sederajat,4,7505524792318071
Fauzan Akib 078,4000000,2500000,Transportasi,Ada,Sedang,Tembok,Keramik,Diploma I,1,7505136528316578
Zulkifli Tahir 032,1200000,750000,Petani,Tidak ada,Sedang,Bilik Bambu/Kayu,Keramik,SLTA/Sederajat,5,7505157896835032
Wati Botutihe 127,2800000,1000000,Wiraswasta,Ada,Besar,Tembok/Beton,Keramik,Diploma I,1,7505599999362127
Syarif Saman 018,750000,0,Berdagang,Tidak ada,Sangat kecil,Semi,Tanah,SLTP/Sederajat,7,7505856878535018
Indah Saman 085,5000000,1500000,Transportasi,Ada,Besar,Tembok/Beton,Keramik,Diploma I,2,7505779311723385
Siti Lamusu 073,500000,0,Lain-lain,Tidak ada,Sangat kecil,Tembok,Semen,SLTA/Sederajat,4,7505605175389273
Sukmawati Tahir 093,2500000,500000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Semen,Diploma I,1,7505893042361293
Aminah Jalil 049,750000,300000,IRT,Tidak ada,Kecil,Semi,Semen,SLTA/Sederajat,7,7505402741386449
Murni Daud 023,0,350000,Berdagang,Tidak ada,Sangat kecil,Bilik Bambu/Kayu,Semen,SLTP/Sederajat,6,7505214528451323
Khadijah Mokodongan 007,750000,0,Nelayan,Tidak ada,Kecil,Semi,Tanah,Belum Tamat SD,4,7505551851110307
Aisyah Kadir 147,3500000,1500000,Karyawan Swasta,Ada,Sedang,Tembok/Beton,Semen,Diploma IV/Strata I,1,7505671988205347
Rizal Daud 070,750000,0,Transportasi,Ada,Sedang,Tembok,Semen,SLTP/Sederajat,4,7505712736409270
Marlina Lamusu 123,3000000,1500000,Berdagang,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,0,7505454018495023
Nurhayati Mokodongan 079,2000000,2500000,Transportasi,Ada,Besar,Tembok,Semen,SLTA/Sederajat,3,7505537059244879
Khadijah Mokodongan 011,600000,350000,IRT,Tidak ada,Kecil,Bambu/Kayu,Tanah,Tamat SD,6,7505101413893511
Andi Mohamad 102,3500000,750000,Karyawan Swasta,Ada,Kecil,Semi,Semen,Diploma I,2,7505913871530402
Sukmawati Saman 015,750000,500000,Berdagang,Tidak ada,Sedang,Bilik Bambu/Kayu,Semen,SLTA/Sederajat,6,7505939921839015
Beni Mokodongan 012,1200000,500000,IRT,Ada,Kecil,Tembok,Keramik,SLTA/Sederajat,7,7505763789297512
Rudi Djafar 096,3500000,2000000,Wiraswasta,Ada,Sedang,Tembok/Beton,Keramik,Diploma IV/Strata I,0,7505808999266496
Deni Jalil 062,500000,300000,Transportasi,Tidak ada,Kecil,Tembok,Semen,SLTA/Sederajat,7,7505191844296462
Marlina Monoarfa 089,5000000,2500000,Berdagang,Ada,Besar,Tembok,Keramik,Diploma IV/Strata I,3,7505137684733389
Khadijah Yusuf 045,0,500000,IRT,Tidak ada,Sedang,Semi,Semen,SLTP/Sederajat,7,7505435490571445
Murni Saman 115,3500000,1000000,Transportasi,Ada,Sedang,Tembok,Semen,Diploma IV/Strata I,2,7505875668668815
Murni Lamusu 021,1200000,350000,Transportasi,Tidak ada,Sedang,Tembok,Semen,SLTP/Sederajat,7,7505464875108021
Fahri Pateda 026,1200000,350000,Lain-lain,Tidak ada,Kecil,Tembok,Tanah,SLTP/Sederajat,5,7505202715964626
Rizky Datau 060,0,350000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Tanah,SLTA/Sederajat,6,7505372764521660
Rahman Gobel 148,3500000,2500000,Transportasi,Ada,Besar,Tembok,Semen,Diploma I,0,7505431239677348
Hasan Yusuf 024,1000000,200000,Bekerja,Tidak ada,Kecil,Tembok/Beton,Semen,Belum Tamat SD,7,7505651927144824
Deni Baya 046,600000,0,Bekerja,Tidak ada,Kecil,Tembok,Semen,SLTA/Sederajat,7,7505555262354846
Rina Husain 041,1200000,350000,IRT,Tidak ada,Kecil,Tembok,Tanah,Belum Tamat SD,5,7505603233525641
Yusuf Yusuf 066,0,300000,Tukang Kayu,Tidak ada,Sangat kecil,Bilik Bambu/Kayu,Tanah,SLTP/Sederajat,4,7505819326433566
Deni Mohamad 136,3500000,2000000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Keramik,Diploma I,0,7505672751248036
Syarif Mokodongan 092,3000000,750000,Karyawan Swasta,Ada,Sedang,Tembok,Semen,Diploma I,3,7505203988671092
Nurlaila Tuliabu 099,5000000,500000,Bekerja,Ada,Besar,Tembok/Beton,Keramik,Diploma I,2,7505335331157099
Hajira Gobel 141,3500000,2500000,Berdagang,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,1,7505434937830141
Nurmi Kasim 067,750000,500000,IRT,Tidak ada,Kecil,Tembok,Semen,SLTA/Sederajat,3,7505401631181467
Nurlaila Akib 037,1500000,250000,IRT,Ada,Kecil,Semi,Semen,SLTP/Sederajat,6,7505557521664737
Ridwan Dau 130,4000000,750000,Pegawai Negeri Sipil,Ada,Besar,Tembok/Beton,Keramik,Pelajar/Mahasiswa,2,7505942547948130
Dewi Jalil 137,3500000,750000,Pegawai Negeri Sipil,Ada,Kecil,Tembok,Semen,SLTA/Sederajat,1,7505793585395837
Zulkifli Badu 054,300000,350000,Petani,Tidak ada,Kecil,Semi,Tanah,Belum Tamat SD,5,7505911972309054
Dewi Gobel 029,1000000,0,Berdagang,Tidak ada,Sedang,Tembok/Beton,Keramik,Tamat SD,7,7505426149804329
Yani Kasim 027,1200000,500000,IRT,Tidak ada,Kecil,Bilik Bambu/Kayu,Semen,Tamat SD,7,7505496339137127
Aisyah Akib 119,2200000,1000000,Pegawai Negeri Sipil,Ada,Sedang,Tembok,Keramik,Diploma IV/Strata I,2,7505725469935819
Fitri Yusuf 065,750000,250000,Berdagang,Tidak ada,Sedang,Semi,Keramik,Tamat SD,4,7505956336166565
Rudi Husain 144,4000000,750000,Karyawan Swasta,Ada,Kecil,Semi,Semen,Pelajar/Mahasiswa,1,7505468767641644
Andi Husain 120,2000000,750000,Pegawai Negeri Sipil,Ada,Besar,Tembok,Keramik,Pelajar/Mahasiswa,3,7505885116165320
Hasan Rahim 064,500000,500000,Petani,Tidak ada,Kecil,Semi,Semen,Belum Tamat SD,5,7505706218404764
Indah Rahim 095,2000000,1000000,Wiraswasta,Ada,Sedang,Tembok/Beton,Semen,Pelajar/Mahasiswa,1,7505355475529395
Marlina Kadir 111,4000000,1000000,Berdagang,Ada,Kecil,Tembok,Semen,Pelajar/Mahasiswa,1,7505184275113711
Rizky Djafar 002,1500000,350000,Nelayan,Tidak ada,Sedang,Bilik Bambu/Kayu,Keramik,Tamat SD,7,7505143663174202
Khadijah Mokodongan 113,4000000,750000,Berdagang,Ada,Sedang,Tembok/Beton,Keramik,Pelajar/Mahasiswa,2,7505159240339213
Mansur Gobel 006,500000,0,Tukang Kayu,Tidak ada,Sedang,Tembok/Beton,Keramik,Tamat SD,7,7505612859735506
Ismail Datau 072,500000,750000,Berdagang,Tidak ada,Sedang,Semi,Semen,SLTP/Sederajat,7,7505756684371272
